Series Id,Year,Period,Value
CUSR0000SA0,1960,M03,0.0
CUSR0000SA0,1960,M04,0.4
CUSR0000SA0,1960,M05,0.1
CUSR0000SA0,1960,M06,0.1
CUSR0000SA0,1960,M07,-0.2
CUSR0000SA0,1960,M08,0.2
CUSR0000SA0,1960,M09,0.0
CUSR0000SA0,1960,M10,0.5
CUSR0000SA0,1960,M11,0.1
CUSR0000SA0,1960,M12,0.1
CUSR0000SA0,1961,M01,0.1
CUSR0000SA0,1961,M02,0.0
CUSR0000SA0,1961,M03,0.0
CUSR0000SA0,1961,M04,-0.1
CUSR0000SA0,1961,M05,0.1
CUSR0000SA0,1961,M06,0.0
CUSR0000SA0,1961,M07,0.3
CUSR0000SA0,1961,M08,0.1
CUSR0000SA0,1961,M09,0.1
CUSR0000SA0,1961,M10,0.0
CUSR0000SA0,1961,M11,0.0
CUSR0000SA0,1961,M12,0.1
CUSR0000SA0,1962,M01,0.1
CUSR0000SA0,1962,M02,0.2
CUSR0000SA0,1962,M03,0.2
CUSR0000SA0,1962,M04,0.1
CUSR0000SA0,1962,M05,0.1
CUSR0000SA0,1962,M06,-0.1
CUSR0000SA0,1962,M07,0.0
CUSR0000SA0,1962,M08,0.2
CUSR0000SA0,1962,M09,0.5
CUSR0000SA0,1962,M10,-0.1
CUSR0000SA0,1962,M11,0.0
CUSR0000SA0,1962,M12,0.0
CUSR0000SA0,1963,M01,0.2
CUSR0000SA0,1963,M02,0.1
CUSR0000SA0,1963,M03,0.1
CUSR0000SA0,1963,M04,-0.1
CUSR0000SA0,1963,M05,0.1
CUSR0000SA0,1963,M06,0.3
CUSR0000SA0,1963,M07,0.3
CUSR0000SA0,1963,M08,0.2
CUSR0000SA0,1963,M09,-0.1
CUSR0000SA0,1963,M10,0.1
CUSR0000SA0,1963,M11,0.1
CUSR0000SA0,1963,M12,0.3
CUSR0000SA0,1964,M01,0.2
CUSR0000SA0,1964,M02,-0.1
CUSR0000SA0,1964,M03,0.1
CUSR0000SA0,1964,M04,0.0
CUSR0000SA0,1964,M05,0.1
CUSR0000SA0,1964,M06,0.1
CUSR0000SA0,1964,M07,0.0
CUSR0000SA0,1964,M08,0.1
CUSR0000SA0,1964,M09,0.1
CUSR0000SA0,1964,M10,0.1
CUSR0000SA0,1964,M11,0.3
CUSR0000SA0,1964,M12,0.1
CUSR0000SA0,1965,M01,0.1
CUSR0000SA0,1965,M02,0.0
CUSR0000SA0,1965,M03,0.1
CUSR0000SA0,1965,M04,0.2
CUSR0000SA0,1965,M05,0.3
CUSR0000SA0,1965,M06,0.4
CUSR0000SA0,1965,M07,-0.1
CUSR0000SA0,1965,M08,-0.1
CUSR0000SA0,1965,M09,0.2
CUSR0000SA0,1965,M10,0.1
CUSR0000SA0,1965,M11,0.3
CUSR0000SA0,1965,M12,0.3
CUSR0000SA0,1966,M01,0.1
CUSR0000SA0,1966,M02,0.6
CUSR0000SA0,1966,M03,0.3
CUSR0000SA0,1966,M04,0.3
CUSR0000SA0,1966,M05,0.2
CUSR0000SA0,1966,M06,0.1
CUSR0000SA0,1966,M07,0.2
CUSR0000SA0,1966,M08,0.6
CUSR0000SA0,1966,M09,0.3
CUSR0000SA0,1966,M10,0.3
CUSR0000SA0,1966,M11,0.1
CUSR0000SA0,1966,M12,0.1
CUSR0000SA0,1967,M01,-0.1
CUSR0000SA0,1967,M02,0.3
CUSR0000SA0,1967,M03,0.0
CUSR0000SA0,1967,M04,0.3
CUSR0000SA0,1967,M05,0.0
CUSR0000SA0,1967,M06,0.6
CUSR0000SA0,1967,M07,0.3
CUSR0000SA0,1967,M08,0.3
CUSR0000SA0,1967,M09,0.3
CUSR0000SA0,1967,M10,0.3
CUSR0000SA0,1967,M11,0.6
CUSR0000SA0,1967,M12,0.3
CUSR0000SA0,1968,M01,0.3
CUSR0000SA0,1968,M02,0.3
CUSR0000SA0,1968,M03,0.3
CUSR0000SA0,1968,M04,0.3
CUSR0000SA0,1968,M05,0.3
CUSR0000SA0,1968,M06,0.6
CUSR0000SA0,1968,M07,0.6
CUSR0000SA0,1968,M08,0.3
CUSR0000SA0,1968,M09,0.3
